timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180410T2100,9.340529,10.65,4.21,76.0,4.379589,99.46232
20180410T2200,8.720529,10.84,4.29,83.0,9.793058,107.10272
20180410T2300,7.4105287,10.58,4.35,87.0,10.630672,118.30075
20180411T0000,5.7005286,10.27,4.11,85.0,8.913181,136.63657
20180411T0100,5.4905286,9.44,3.72,82.0,7.7043357,127.40535
20180411T0200,5.3805285,9.34,3.4,81.0,7.729527,117.75854
20180411T0300,5.2005286,9.72,3.31,76.0,7.9036193,120.06859
20180411T0400,4.6805286,9.69,2.85,76.0,7.10031,120.465546
20180411T0500,4.5205283,9.62,2.94,75.0,7.4128532,119.054596
20180411T0600,4.2205286,9.41,2.97,77.0,7.8954163,114.22774
20180411T0700,4.1005287,8.96,3.11,78.0,9.178235,115.55997
20180411T0800,5.5505285,8.25,3.27,77.0,12.24,118.07248
20180411T0900,7.790529,8.4,3.45,68.0,14.84318,112.83366
20180411T1000,10.140529,10.52,3.92,64.0,15.815435,101.82149
20180411T1100,13.060529,13.35,4.42,51.0,17.283749,88.8065
20180411T1200,14.660529,14.76,4.86,42.0,21.24305,90.971016
20180411T1300,16.250528,16.49,5.33,39.0,23.444265,93.521454
20180411T1400,18.110529,18.1,5.82,36.0,23.42491,92.64253
20180411T1500,18.500528,18.58,6.27,37.0,23.857979,95.19443
20180411T1600,18.88053,19.23,6.96,37.0,26.009842,94.76365
20180411T1700,19.090528,19.7,7.76,35.0,25.40743,97.32641
20180411T1800,18.440529,19.38,8.54,34.0,25.6233,94.02826
20180411T1900,17.73053,19.13,8.74,37.0,24.482647,109.76717
20180411T2000,16.240528,18.32,8.95,40.0,22.104116,106.07356
20180411T2100,14.230529,16.84,9.11,44.0,21.194187,110.897766
20180411T2200,13.740529,16.33,9.22,46.0,18.556595,108.08344
20180411T2300,13.640529,16.25,9.05,49.0,17.873554,108.79989
20180412T0000,12.430529,15.09,9.32,55.0,16.92383,113.83874
20180412T0100,11.990529,14.04,7.87,57.0,6.1305785,130.23636
20180412T0200,11.500529,13.47,7.7,60.0,1.2979984,123.69006
20180412T0300,10.790529,13.69,7.69,64.0,5.04,89.99999
20180412T0400,9.400529,12.78,8.38,71.0,4.802999,102.99461
20180412T0500,9.170529,12.33,7.97,65.0,5.634891,153.43495
20180412T0600,8.100529,10.79,8.54,65.0,9.0645685,96.84277
20180412T0700,8.620529,12.67,5.56,59.0,7.172949,197.52557
20180412T0800,8.810529,11.39,4.78,66.0,5.495161,58.392494
20180412T0900,10.220529,11.17,4.72,65.0,8.4042845,9.865799
20180412T1000,12.070529,12.69,5.25,65.0,4.5536795,18.434952
20180412T1100,13.5505295,13.89,4.96,62.0,5.95906,334.98312
20180412T1200,14.930529,15.05,4.88,60.0,3.4152596,341.56506
20180412T1300,16.100529,16.13,5.45,57.0,6.28713,13.240509
20180412T1400,16.54053,16.44,5.8,51.0,2.8116899,320.19443
20180412T1500,17.23053,17.17,5.52,49.0,5.506941,78.69006
20180412T1600,17.87053,17.95,5.94,45.0,6.9527545,68.7495
20180412T1700,18.29053,18.68,6.56,41.0,6.638072,40.601288
20180412T1800,18.520529,19.31,7.2,38.0,9.931042,46.468796
20180412T1900,18.21053,19.54,7.51,36.0,10.086427,55.1755
20180412T2000,16.830528,18.74,7.38,41.0,9.3669195,87.7974
20180412T2100,13.990529,16.71,7.35,46.0,11.367109,100.954056
20180412T2200,11.460529,14.19,7.4,58.0,12.245293,114.30454
20180412T2300,10.160529,12.2,7.37,57.0,12.10157,112.75097
20180413T0000,9.130529,11.68,7.29,58.0,12.10157,112.75097
20180413T0100,9.010529,11.62,7.13,62.0,9.360001,112.61986
20180413T0200,8.730529,11.69,6.93,67.0,5.4833565,113.19859
20180413T0300,8.650529,11.72,6.67,70.0,5.1165614,129.2894
20180413T0400,9.480529,11.93,5.73,68.0,3.2599385,186.3402
20180413T0500,9.430529,11.6,4.79,70.0,6.4799995,270.0
20180413T0600,9.5505295,11.38,4.3,71.0,7.69592,259.2157
20180413T0700,9.580529,11.04,3.75,72.0,9.114471,260.90973
