location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211007T0500,22.8229,0.0,96.0,1008.0,0.8049845,10.799999
20211007T0600,22.6029,0.0,96.0,1008.6,1.609969,10.08
20211007T0700,23.6529,0.0,90.0,1009.6,0.35999998,8.28
20211007T0800,25.4329,0.0,83.0,1009.8,2.4149535,5.7599998
20211007T0900,26.3429,0.0,77.0,1010.0,4.6938252,7.2
20211007T1000,27.3929,0.0,71.0,1009.1,5.8048253,7.5599995
20211007T1100,28.0529,0.0,67.0,1008.2,4.896529,8.28
20211007T1200,28.582901,0.0,64.0,1007.3,4.6102495,6.12
20211007T1300,29.1729,0.0,61.0,1006.3,4.3349743,5.7599998
20211007T1400,29.6929,0.0,59.0,1005.7,5.495161,7.5599995
20211007T1500,29.3229,0.0,60.0,1005.0,5.815978,7.2
20211007T1600,29.3129,0.0,60.0,1005.2,5.815978,6.4799995
20211007T1700,29.0229,0.0,61.0,1005.5,8.654986,9.36
20211007T1800,28.2229,0.0,64.0,1006.1,7.42159,9.72
20211007T1900,27.4629,0.0,69.0,1007.0,7.172949,9.72
20211007T2000,26.7329,0.0,73.0,1007.7,6.9247384,9.36
20211007T2100,26.0929,0.0,77.0,1008.5,6.696387,9.36
20211007T2200,25.4829,0.0,80.0,1008.4,6.9153743,11.879999
20211007T2300,24.9329,0.0,83.0,1008.1,6.638072,11.159999
20211008T0000,24.4929,0.0,86.0,1008.1,6.193674,10.799999
20211008T0100,24.1129,0.0,88.0,1007.7,6.12,10.08
20211008T0200,23.7929,0.0,90.0,1007.4,6.151683,10.08
20211008T0300,23.5029,0.0,92.0,1007.1,5.8603754,8.64
20211008T0400,23.3229,0.0,93.0,1007.7,5.4119864,6.8399997
20211008T0500,23.1529,0.0,93.0,1008.4,4.5536795,5.3999996
20211008T0600,23.1629,0.0,93.0,1009.0,3.8939953,8.64
20211008T0700,24.7429,0.0,87.0,1009.6,4.510787,5.7599998
20211008T0800,26.7029,0.1,79.0,1009.6,5.692099,7.2
