location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211008T0800,27.268301,0.1,85.0,1009.2,13.797912,17.64
20211008T0900,27.608301,0.0,81.0,1009.5,14.264361,17.28
20211008T1000,27.9783,0.0,78.0,1009.5,12.661564,15.84
20211008T1100,28.3383,0.0,77.0,1008.8,12.303366,13.679999
20211008T1200,28.2183,0.2,79.0,1008.2,12.55879,13.679999
20211008T1300,29.108301,0.1,75.0,1007.5,13.527572,18.0
20211008T1400,29.2083,0.4,75.0,1007.0,14.24163,18.359999
20211008T1500,28.2983,0.0,78.0,1006.6,14.345898,17.28
20211008T1600,27.9683,0.1,80.0,1006.5,15.192682,18.0
20211008T1700,28.0983,0.0,80.0,1006.0,13.363711,15.119999
20211008T1800,27.5683,0.0,83.0,1006.5,10.829959,16.56
20211008T1900,27.268301,0.3,85.0,1007.3,10.308831,15.119999
20211008T2000,26.7983,0.0,86.0,1007.9,10.182337,15.4800005
20211008T2100,26.278301,0.0,90.0,1008.4,10.805999,19.44
20211008T2200,25.8383,0.0,92.0,1008.4,13.358861,21.24
20211008T2300,25.4583,0.0,91.0,1007.9,13.708391,18.359999
20211009T0000,25.3183,0.0,91.0,1007.9,12.074766,18.0
20211009T0100,25.1483,0.0,92.0,1007.7,11.177405,16.919998
20211009T0200,25.028301,0.0,92.0,1007.5,9.693296,15.4800005
20211009T0300,24.9583,0.0,93.0,1007.3,9.511088,15.4800005
20211009T0400,24.8883,0.0,93.0,1007.5,10.00256,16.919998
20211009T0500,24.778301,0.0,93.0,1008.2,10.805998,18.359999
20211009T0600,24.6383,0.0,93.0,1008.7,11.4862,18.72
20211009T0700,25.108301,0.0,90.0,1009.4,13.70839,18.72
20211009T0800,26.0783,0.0,85.0,1010.1,15.937878,19.8
20211009T0900,27.2583,0.0,80.0,1010.5,16.299694,17.28
20211009T1000,28.3483,0.0,76.0,1010.2,15.986595,17.28
20211009T1100,29.188301,0.0,73.0,1009.2,15.978484,18.72
20211009T1200,29.3483,0.0,73.0,1008.9,16.09969,19.08
20211009T1300,29.3083,0.1,73.0,1008.2,16.09969,19.08
20211009T1400,29.4783,0.2,73.0,1007.7,16.42247,19.08
20211009T1500,29.1583,0.0,74.0,1007.3,16.267857,19.08
20211009T1600,28.7083,0.0,76.0,1007.2,15.978484,18.359999
20211009T1700,27.608301,0.9,83.0,1007.4,7.754637,8.64
20211009T1800,27.358301,1.1,84.0,1007.8,6.130579,6.8399997
20211009T1900,26.9983,0.0,86.0,1008.4,6.87779,7.92
20211009T2000,26.7583,0.0,88.0,1008.9,7.5599995,11.159999
20211009T2100,26.5783,0.0,88.0,1009.5,7.92,12.24
20211009T2200,26.3183,0.0,89.0,1009.7,7.928178,12.599999
20211009T2300,25.9983,0.0,91.0,1009.2,8.311245,11.5199995
20211010T0000,25.6983,0.0,91.0,1009.0,8.759178,16.919998
20211010T0100,25.4883,0.0,92.0,1008.6,8.209263,16.919998
