location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20211010T0600,27.1161,0.0,84.0,1008.1,3.7064266,9.72
20211010T0700,27.7761,0.0,79.0,1008.2,2.8799999,7.2
20211010T0800,29.6861,0.0,68.0,1008.7,2.8116899,4.32
20211010T0900,31.4161,0.0,60.0,1009.5,4.68,3.96
20211010T1000,32.8361,0.0,54.0,1009.2,5.0528407,4.32
20211010T1100,33.896103,0.0,46.0,1008.2,5.506941,8.28
20211010T1200,34.7061,0.0,41.0,1007.4,5.04,8.28
20211010T1300,35.2061,0.0,39.0,1006.9,6.2145634,6.12
20211010T1400,35.4961,0.0,39.0,1006.1,7.342588,6.4799995
20211010T1500,35.6161,0.0,37.0,1005.2,7.5942073,7.92
20211010T1600,35.3861,0.0,37.0,1004.9,8.350138,9.0
20211010T1700,34.806103,0.0,38.0,1005.4,8.905908,10.08
20211010T1800,33.896103,0.0,41.0,1005.7,2.5455842,9.0
20211010T1900,33.056103,0.0,46.0,1006.1,5.692099,8.64
20211010T2000,32.1661,0.0,51.0,1006.6,7.145796,9.36
20211010T2100,31.2461,0.0,58.0,1007.2,7.386582,9.72
20211010T2200,30.466099,0.0,61.0,1007.6,7.145796,9.72
20211010T2300,29.7761,0.0,64.0,1007.1,6.638072,12.24
20211011T0000,29.2561,0.0,67.0,1007.0,6.638072,8.64
20211011T0100,28.8461,0.0,69.0,1006.7,6.193674,11.159999
20211011T0200,28.4961,0.0,71.0,1006.2,4.8965297,10.08
20211011T0300,28.1961,0.0,73.0,1005.9,3.396233,9.72
20211011T0400,27.956099,0.0,74.0,1006.0,2.9024127,9.36
20211011T0500,27.7661,0.0,75.0,1006.7,1.5273507,8.64
20211011T0600,27.706099,0.0,75.0,1007.1,4.452954,7.5599995
20211011T0700,28.1761,0.0,73.0,1007.5,1.609969,6.4799995
20211011T0800,29.7861,0.0,66.0,1008.0,1.8,3.6
20211011T0900,31.3661,0.0,60.0,1008.5,3.2599385,3.2399998
20211011T1000,32.696102,0.0,55.0,1008.2,3.4152596,6.8399997
20211011T1100,33.6661,0.0,49.0,1007.4,3.6,7.2
20211011T1200,34.3361,0.0,44.0,1006.7,3.8268526,7.2
20211011T1300,34.7761,0.0,42.0,1006.0,3.6,6.4799995
20211011T1400,34.9361,0.0,41.0,1005.2,3.219938,5.3999996
20211011T1500,34.826103,0.0,42.0,1004.5,2.6208394,4.32
20211011T1600,34.446102,0.0,42.0,1004.2,2.2768397,3.6
20211011T1700,33.8461,0.0,44.0,1004.8,1.5273507,3.6
20211011T1800,32.856102,0.0,45.0,1005.1,3.5455887,4.32
20211011T1900,32.306103,0.0,48.0,1005.4,5.7599998,5.7599998
20211011T2000,31.476099,0.0,54.0,1006.1,6.379216,7.2
20211011T2100,30.6061,0.0,60.0,1006.5,5.771239,8.64
20211011T2200,30.1161,0.0,63.0,1006.7,5.506941,9.0
20211011T2300,29.626099,0.0,65.0,1006.3,5.634891,9.36
20211012T0000,29.1961,0.0,67.0,1006.0,5.1165614,9.72
20211012T0100,28.8161,0.0,69.0,1005.8,3.8268526,10.799999
20211012T0200,28.5261,0.0,70.0,1005.3,1.8,9.72
20211012T0300,28.1861,0.0,72.0,1004.9,0.8049845,9.72
20211012T0400,27.9261,0.0,74.0,1005.1,0.8049845,8.28
20211012T0500,27.6961,0.0,75.0,1005.9,2.4149535,8.28
20211012T0600,27.3261,0.0,75.0,1006.5,5.5887027,9.72
20211012T0700,27.726099,0.0,72.0,1007.0,6.2145634,10.440001
20211012T0800,29.5361,0.0,64.0,1007.9,5.8048253,9.36
20211012T0900,31.2861,0.0,56.0,1008.5,7.9932976,9.0
